description,unit
"Color washing two coats to walls of approved colour and quality including cost of gum,salt,gunji and water,labour charges for and cleaning the surface and dirt with soap and brushes including putty cost, cost and conveyance of all labour and material at site of work complete as directed by the Engineer-In-Charge. South side wall sides wall Over beam Wash room",
"Supply and placing of sand bags for preventing damages to the floor and polished Kadapa slab dining seats during the dismantling / removing the slab including cost of sand empty bags and placing the bags on the floor and kadapa slab seating etc.,including cost and conveyance of all labour and material at site of work complete as directed by the Engineer-In-Charge. Over canteen floor and dining seats",
"supply and fabrication of tor steel of Visakha/Tata steel /sail/Tirupathi TMT or any other ISI marked or ISO approved makes including cutting bending tying grills as per design,cost of binding wire,loading,unloading Transportation to the site of work including cost and conveyance of all labour and material at site of work complete as directed by the Engineer -In- Charge. Lintel qty",
"cutting the slab roads by Electrical cutting machine and removing the loose concrete including hire charges of Electrical cutting machine, Transporatation Electrical cable and cutting blade etc.., cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In-Charge. South & north side of canteen Short walls Wash hand area Lintels",
"Hire Charges for engaging excavator for earth work excavation/ removing of heaps/ debries and disposing the debries to far away from the site, including cost and conveyance of all labour and material, oil charges, transportation charges etc.., complete as directed by the Engineer-In-Charge. For movement of vehicle",
Cutting of column rods by weilding machine including hire charges of weilding machine and cables scafloding and cables cost of weilding rods cost and conveyance of all labour and material at site of work complete. Over slab,
"Structural repairs to the Ceiling of RCC Slab duly chipping with pneumatic power chiselling equipment and until to achieve the hard mother concrete, cleaning the surface, cleaning of steel reinforcement with sand paper and Iron brushes for removing of rust, applying Anti corrosive paint of FOSROC make, applying Bonding agent of FOSROC make, strengthening the ceiling with C.C.1:1.5:3 Pro using 6mm down graded HGMC metal 40mm thick average thickness using construction chemicals and redoing the ceiling with cement plastering 12mm thick in C.M 1:3 & 1:5 Pro with neat finish, including curing, scaffolding arrangements at different places, cost of construction chemicals, all incidental, operational, seigniorage charges, cost and conveyance of all labour and materials at site of work complete.(G.F) Alround beams inside Hand wash basin area Outside",
Labour charges for removing & refixing polyethiline water storage tank with necessary pipe lines and connections excluding cost of fittings etc. cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Over dinning hall,
Supply & fixing of following CPVC pipes / specials to meet the requirement of ASTM - D 2846 and are produced in CTS (Copper tube sizes) Ashirvad flow guard SDR 13.50 pipes are made from idential CPVC compounds having the same physical properties for hot & cold water (IS 15778 - 2007) including cost and conveyance of all labour and materials at site of work complete as directed. A) 22.20 mm OD cpvc pipe SDR 13.5 For wash basin 22.20 mm dia CPVC Elbow 22.20 mm dia CPVC 'T' 22.20 mm dia CPVC coupler 22.20 mm to 15.20 mm dia CPVC reducer 1/2'' dia ss extention nipple 22.20 mm CPVC FTA threded 3/4''x 1/2'' dia brass reducer 3/4''x 1/2'' dia brass reducer Elbow 28.60 mm OD CPVC pipe 13.5 28.60 mm OD CPVC Elbow 28.60 mm OD CPVC 'T' 28.60 mm OD CPVC coupler 28.60 mm to 22.20 mm dia CPVC reducer CPVC 1'' dia 28.60 mm dia tank nipple 28.60 mm dia Ball valve Particulars,
"Earth work excavation in all kind of soils wet or dry such as clay hard clay, black cotton soil, red earth, moorum,gravel etc., in loose and slushy condition except rock requiring blasting for fondation of walls and column footings including bailing out of water (pumping out water if necessary)with necessary site clearence, marking out temporary steping, slopping, shoring strutting ,sectioning, tamping as directed with an initial lead of 10m and lift of 2m complete as directed by the engineer-in-Charge. Both sides of pits",
