description,unit
"Removing of R.R Masonary in cement motor and stacking useful material for reuse and disposing the debris to a far off distance, all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Bit 1 south west corner",
"Labour charges for removing of 40'0"" to 60'0"" height of trees 6'0"" to 10'0"" stem and removing the tree roots by using electrical sawing maching, ropes are to be used for removing of tree branches and tree stems, cost of diesel/petrol for cutting electrical sawing mechine, hire charges of ladder and ropes cost and conveyance of all labour and materials etc., complete as directed by the Engineer-in-Charge. 1No's",
"Providing and Laying plain cement concrete 1:3:6 Pro. (1 cement:3sand:6metal) using 40mm gauge hard granite machine crushed metal conforming to IS 383-1970 in foundation and for BED of flooring including machine mixing, depositing in position, ramming, finishing, curing including all incidental operational and seigniorage charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Bit 1",
"Providing barbed wire fencing on compound wall with 40X40X6mm MS angle of 4'0"" length at 12'0"" center to center and providing SWG barbed wire 6 Nos. horizontals & 2 Nos. diagonals including cost of GI wire for tying the barbed wire and making holes in brick masonary for fixing of MS angle including cost of PCC 1:2:4 Prop. of size 0.23X0.23X0.23Mts. complete as directed by the Engineer-in-charge. Top of compound wall",
Supply & fixing 6''ø PVC/SWR Pipe 6.00 kg/Rm cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-In-charge. From B/D side to out side,
Construction of brick masonary manhole - in side 1'-6'' x1'-6'' including cost and conveyance of all labour and materials at site of work complete as directed by the E-In-charge,
"Structural repairs by providing Haunching to the corner of terrace and parapet wall to arrest leakages duly chipping with pneumatic power chiselling equipment and until to achieve the hard mother concrete surface. Duly removing of debris, cleaning of the surface from dirt and other foreign matter & water jet cleaning, applying styrene butadine rubber based bonding agent for motor/concrete (mix 1:1 ration of cement) agent complies with ASTM D 4541/BSEN 12390 applying high strength cement concerete flooring of 50mm thick average with CC (1:1.5:3) Prop. using 12mm down graded hard granite machine crushed metal mixing with concrete repair Admixtures and water reducing admixture 1 to 2 liters per bag of 50kg of cement including mixing, depositing, finishing in line, level and required slope cost of curing, cost of construction chemicals, all incidental, operational, seigniorage charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. North side West side East side",
"Supply of FOSROCK nito bond RFX liquid 5 lts & 15 kgs of powder bag including transportation charges, loading & unloading charges all including cost and conveyance of all labour and materials at site of work complete. For galatha",
"Digging of pipe line side 3.00 mts and trench 2'x2'x3' infront of WM's office and checking the damaged pipe line and removing a damaged GI pipe 1""Ø including cutting with axe of frame and fixing 1""Ø GI dummy and refilling the execavated soil after completion of refixing of water GI pipe line - etc., Seignorage charges Add @ N.A.C. 0.10% Add GST 18.00% Particulars",
"Supply, fabrication and errection of truss made with MS box type section of size 38X38X2.60mm @2.75Kg/Rm as top, bottom and internal vertical members made with 32X32X2mm @ 1.8Kg/1Rm with MS plates of size 160X70X6mm - 3 Nos. welded to the top truss members with making necessary 10mm holes and bolts with washers and where stanchions are to be fixed with MS plates of size 350X150X10mm top-2Nos, bottom-2 Nos with necessary 16mm dia holes and bolts with washers- 4Nos fixing of top stiffners plate size 175X100X12mm-2Nos at end of truss and bottom stiffner plate size 200x100x10mm-2Nos including cost of 12mm dia holes and bolts with washers - 4 Nos including hire charges of all T & P, cost of one coat red oxide primer and two coat of enamel paint, including transportation charges, seigniorage charges, scafolding charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For extension of shed cantilever",
"Supply, fabrication & errection of MS tubular rafter of size 60x60x3.20mm @5.50 kg/m and fixing end plate of size 160mmx70mmx6mm 3nos, 10mmø bolts 4nos of each plate including cost of nuts and washers and including zinc primer and enamel paint allround the purlins including cost and conveyance of all labour and material at site of work complete. For extension of shed cantilever",
"Labour charges for removing the old 2 1/2""ø to 3""ø GI pipes fixed in concrete on/in walls including removing of damaged channels/ angles at a height of 3.66 mts, stacking the usefull materials for reuse and dispose the removed damaged materials from the site of work, cost and conveyance of all labour and materials at site of work complete as directed by the E-in-C. 2 1/2"" MS round pipe(over long wall) 3"" MS round pipe (over short wall)",
"Labour charges for cutting of holes in brick masonry for fixing of 2 1/2""ø MS pipes and finishing the same including cost and conveyance of all labour and materials at site of work complete as directed by the E-in-C. Over Record room (long wall) Short wall",
"Labour charges for fixing of Departmental 60.30mm OD MS pipe including cutting welding and fixing in position, scoffolding charges and hire charges of T&P including cost and conveyance of all labour and materials at site of work complete. In Record room",
"Supply and fixing of 60.30mm ODMS pipe at 5.10 kgs/1RM including cutting, welding, fabrication, fixing in position, scaffolding charges, hire charges of T&P, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. 60.30mm OD MS pipe (over long wall) 76.10mm OD MS pipe (over short wall)",
"Providing & Fixing thermocole false ceiling in true horizontal level 600mm X 600mm using 19mm thick thermocole sheet anodised alluminium 'T' sections of size 24.50mm X 24.00mm X 2.4mm in grid with cross 'T' of size 24X24.5mm at every 600mm center to center and anodised alluminium wall angle of size 24X24mm fixed to periphery of the wall and the above grid is suspended at every 1200mm center to center in both directions using 2.00mm thick GI wire for finished of size 600X600mm including cost and conveyance of all labour and materials such as cutting, fixing of stending of frame work exposing roof making complete for finished item of work. In Record room",
"White washing two coats to walls including cost of gum, gunjee water labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including putty, cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges for finished item of work as directed by the Engineer-in-Charge. Inside of long wall(back) Inside of long wall(front) Inside short walls Deduction door",
"Painting two coats to old wood work with best variety synthetic enamel paint of approved colour and quality, labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials, cost of brushes including cost and conveyance of all labour and materials at site of work complete with necessary scaffolding complete as directed by the Engineer-in-Charge. Main door Add seiginorage charges Add 0.10% NAC Add GST 18.00% Particulars",
"Painting with sythentic enamel paint one coats to old walls with approved colour and quality including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge.First floor Frent side chairmen room Main door putty side Door top Chamber room Dy CAO office out side Left side staircase land rail Small wall landing away Staircase rail last side down Rectangular bit Landing wall Horizental wall Slope Horizental wall Landing Landing wall Landing wall side Right side horizental wall Dy CAO office door side right wall Dy CAO A/C office landing Right side wall Right side wall sloped security room side main sloped wall Security branch right side",
"Painting two coat to old walls with best variety synthetic enamel paint of approved colour and quality, preparing and cleaning the surface and dirt, cost of brushes scaffolding charges including putty, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Top landing wall 2 coats security opp wall 2 coats",
Suply and fixing of roller blinds of required size including aluminium shaft of top and bottom with necessary rolers and cloth of approved colour and quality including fixing in position for smooth operation cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chairmen room windows,
Labour charges for fixing of departmental blinds of required size including aluminium shaft of top and bottom with necessary departmental rolars and cloth including fixing in position for smooth operation cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Anty room windows,
Supply and fixing of godrej aluminium door closer with fixing of necessary screws and adjecement with trails for smooth functioning cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chairmen room main door,
supply and laying coconut door mats 40 mm thick havy duty/cloth mats of any size including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. A) Chairmen office Main door mat size0.45 x 0.60 Ground floor stair case enterence mat size1.20 x 0.60 B) cloth mat anty room toilet front side of size 0.45 x 0.30,
Supply and fixing of chaimen main door cartons of size 0.90 x 2.10 including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chairmen main door,
Supply and fixing of 1'' dia steel carton rods with 1'' dia steel brackets 2BNo's with necessary screws by using drilling machine including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chairmen chamber front main door,
Supply and fixing of door stafers steel/powder coated iron with necessary screws including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chamber Main door steel stafer 6'' long B)Anty room power coated door stafer,
Removing and refixing of departmental doors 4No's of size 0.90 x 2.10 M / 0.80 x 1.80M with using necessary screws and MS hinges 5'' long to rapirs the doors shutters troughping and refixing line and lengh. And repairs the sofa sets legs 2No's including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chairmen PO Main door PO office main door Depot - 2 manager chamber main door In CI cham back side,
"Supply and laying PVC enail flooring mat of 1.30 mm thick and cutting required shape and cleaning the existing surface cleaning 3 times entaire area by using necessary wire brushes,iron blads and wooden brushes.Before laying mat applying entair floor area with fevicol SR bond 2 coats and than fixing the mat and rolling the wooden rollers and form the flooring nitly and regtly including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. Chairmen PA room",
Supply of mason and manmazdoors to repairs wall patches and steps patches ground floor on first floor and chairmen room out side excluding cost of cement and sand including cost and cvonveyance of all labour and materials at site of work complete as directed by the E-In-Charge. A)mason first class B)helpers MM Cement Add NAC 0.10% Add GST 18% Particulars,
Supply and fixing MS OD Tubular pipes/square pipe including welding cleat top 100x50x6mm thick cleat plate including necessary bolts and nuts welding cleat to pipe top on cantilever for fixing purlins and rafters and including one coat of primer and two coat of synethetic enamel paint including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in- Charge. 60.30mm OD MS Tubular vertical poles Front side of scooter stand Back side of scooter stand 48.30mm OD MS square pipe purlins 60 x 60mm square pipe rafters,
"Cement plastering to walls in CM 1: 5 Prop (1cement: 5Sand) of 20mm thick including cleaning the surface, cost of curing, scaffolding, lift, all incidental, seignorage and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-C. Poles alround (pillars) Existing walls Out side brick wall all round",
"Supply and fixing of Galvalume sheet for roofing including cost of 'J' - bolts, cost of washers, nuts, cost and conveyance of all labour, materials all incidental such as scaffolding, lift charges for finished item of work as directed by the Engineer-in-Charge. For scooter stand Cantilevear portion",
Supply and filling of sand in basement consolidation as for standed including cost and conveyance of all labour and materials at site of work complete. For basement For ramp Under poles - 12,
"Painting two coats to old walls with best variety synthetic enamel paint of approved colour and quality, preparing and cleaning the surface and dirt, cost of brushes scaffolding charges including putty, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Frent side chairmen room Main door putty side Door top Chamber room Dy CAO office out side Left side staircase land rail Small wall landing away Staircase rail last side down Rectangular bit Landing wall Horizental wall Slope Horizental wall Landing Landing wall Landing wall side Right side horizental wall Dy CAO office door side right wall Dy CAO A/C office landing Top landing wall 2 coats Right side wall Right side wall sloped security room side main sloped wall security opp wall 2 coats Security branch right side Particulars",
"Cement plastering to walls in CM 1: 6 Prop (1cement: 6Sand) of 20mm thick including cleaning the surface, cost of curing, scaffolding, lift, all incidental, seignorage and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-C. Out side Steps",
"Supply, fabrication and errection of purlins made with MS box type section of size 50X50X2.9mm at 5.5Kg/1Rm including cost of end plates of size 160X70X6mm 2 Nos. & cost of 10mm dia bolts and nuts 4 Nos. cost of one coat red oxide primer and two coats of alluminium paint transportation charges hire charges of T&P including seigniorage charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For toilet",
"cutting of holes in brick masonry including hire charges of drilling machine, crew charges and finishing the same including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. In toilet",
Supply & fixing of 12.70 mm NP bib cock Indian make heavy duty including cost and conveyance of all labour and materials at site of work complete as directed. In tiolet,
"Providing 4'0"" dia Leach pit for 6'0"" depth using RCC pre cast rings of 4'0"" dia 7Nos. and providing RCC pre cast cover, 110mm dia SWR vent pipe for 10'0"" length including earth work excavation, cost and transportation of the rings and cover to the site, grounting the joints with cement morter and filling the sides of the pit with excavated earth, cost of rope and other materials and T&P required including cost and conveyance of all materials and all incidental & operational, labour charges like mixing cement morter, curing etc., complete for finished item of work as per instructions of the Engineer-in-charge. Soak pit",
"Transportation of dismantled material to a distance of 1.00 Km. away from site including loading, unloading cost and cnveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Qty vide item no: 1 Seignorage charges Add @ N.A.C. 0.10% Add GST 18.00% Particulars",
"Removing of damaged doors & windows and stacking the useful material for reuse and disposing the debris to a far off distance,all incidental and operational charges cost and conveyance of all labour and materials all site oof work complete. Iron windows Door shutter",
"Removing of damaged floor tiles and disposing the debris tto a far off distance, all incidental and operational charges,cost and conveyance of all labour and materials at site of work complete. In dining hall Deduction of big pillars of dining tables Deduction of small pillars of dining tables small double pillar",
"Removing of damaged flooring concrete and disposing the debris to a far of distance, all incidental operational charges,cost and conveyance of all labour and materials at site of work complete. In dining hall Deduction of big pillars of dining tables Deduction of small pillars of dining tables small double pillar",
"Removing /chiselling the brick masonary walls cracks enthier wall and disposing the debris to a far off distance, all incidental and operational charges cost and conveyance of all labour and materials at site of work complete. North side of dining hall outside Basement of dining hall frontside Compound wall side",
"Bricks masonary with brick for any thickness of walls in C.M 1:6pro.(1cement:6sand)including soaking of brick all incidental, operational, scaffolding,curing chargecost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge (ground floor upto a height of 12'0"" above basement level) Windows left side pillars Right side pillar Window Bottom raising Brick pillar Door 1 Step door 2 step dining hall west side walls Bottom of window dining hall middle pillar Out side kerb wall West side kerb wall",
"Providing and fixing factory made solid wood polymer coposite (WPC) single extrcted door frame section of size with encapsulation of BMM rigid layer on all the six surface the adoor frame will have a rabat of 32 mm door frame section of 45 x 90 mm the two vertical members are to be joined together with the horizental member using 8 x 60 mm long star full thread screws to be used with reverse forward speed control hand drilling machine the ready/ assembled door frame is fixed to the wall using hold fast or bolt fasteners A alluminium of 4No's of screws to be provided for each vertical member & minimum 2 no's for horizental member including cost of labour, hire charges of required T&P all incidental and operational cahrges cost and conveyance of all labour and materials at site of work complete as directed by the E-in-C. Door top & bottom numbers Verticals numbers",
"Providing and fixing 28-30 mm thick solid wood polymer composite (WPC) single extructed door shutter with 3 mm top and bottom rigid layer with on overall density of 750 kg/cum.including fixing of necessary fixtures like 2No's of 125 mm alu. Handles 2No's of 200 mm alu. aldrop 2No's of 150 mm . alu tower bolt 4No's of 150mm MS hinges and 6No's of MS hold fasts including cost of labour,hire charges of required T&P all incidental and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the E-in-C. Double shutter",
"Providing primer paint to walls of any paint of approved quality colour and quality on exising surface primary coat including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge. North side Long wall South side Long wall East & West side Deduction gap Deduction door Deduction window compond wall out side Compound wall in side Garrege side wall Front side basement Celling",
"Painting with interior emulsion two coats to walls with approved colour and quality on exising primary coat including labour charges for thoroughly brushing the surface to remove all dirt and remains of loose powdered materials including cost and conveyance of all labour, materials and incidental such as scaffolding, lift charges etc., complete for finished item of work as directed by the Engineer-in-Charge. North garage side wall deduction gap wall sill top wall sill bottom Ro plant wall deduction windows Add sills Window top East side wall North side wall Deduction door Add sides Deduction window aluminium Window sills add Window top Add garrage side vertical drops",
"Painting two coat walls with best variety synthetic enamel paint of approved colour and quality, preparing and cleaning the surface and dirt, cost of brushes scaffolding charges including putty, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. North garrage side wall Add glass painting Brick masonary partitian wall South side wall East and west side Deduction door Deduction windows Add aluminium window bottom Window sides Garrage side small pillars Dining pillars",
Supply & fixing polished Napa stone 40 mm thick for dining tables and seating benches including cost and conveyance of all labour and materials at site of work complete. Seating tables and dining tables Seating tables and dining tables Seating tables and dining tables Seating tables and dining tables Seating tables and dining tables,
"Supplying & Fixing indian makeflat back wash hand basin 1st quality conforming to IS:2556-part-4: 1972 with waste fittings like rubber plug, chain, 32 mm nominal size C.P. Fitting with parallel pipe thread conforming to IS:2963-1979 and fitted with 15mm nominal bore chromium Plated Pillar tap of 1st quality indian make 400grams seiko/senior/nice/Esso or equivalent complete with standard CI brackets including wooden block: 660 x 460 mm- Single C.P Pillar cock North side wall SSR No. 2023-24 item code BMW-D.21",
"Supply and fixing fo alluminum sliding window powder coated channel frame of size 45.20 X 35 mm @ 0.414 kg/mt and shutter section 37.50 X 20.50 mm @ 0.369 kg/mt 5mm thick colour glass including cost of locking allowyent, rubber beading, weather stopper, roller silicon scalut, including cost and conyenance of all labour and material at site of work complete. North side East side",
"Supply & Fixing CPVC/PVC pipes & accessories including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. North side (a) 22.20 mm CPVC OD pipe SDR 13.50 (b) Brass reduser 3/4 to 1/2 (c) 1"" L bend (d) 1"" CPVC Tee (e)1"" dia FTA (f) 5"" dia Nahani trap (g) Removing of 1"" dia old GI pipe (h)1"" CPVC clamps",
"Cutting of CC 20 mm thick metal, including hire charges for heavy drilling machine cable and disposing the debris to a far off distance,all incidental and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer in charge. Long walls Short walls",
"PROVIDING REINFORCED CEMENT CONCRETE (1:2:4) using 330 kgs of cement with a minimum strength of M20 grade using 20mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding and seigniorage charges, cost and conveyance of all materials and labour, at site of work complete (excluding cost of steel, binding wire and its fabrication) as directed by the Engineer-in-Charge. Lintels on Main door ventiletors Sunshed on Main door Door 1 Ventilator 1 (front side wall)",
"Cement plastering to walls in CM 1:6 Prop (1cement: 6Sand) of 12mm thick including cleaning the surface, cost of curing, scaffolding, lift, all incidental, seigniorage and operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the E-in-C. Inside wall Overhall pedastal Sides Front side Deduction Main Door",
Supply and fixing RCM 40 mm thick jally including cost and conveyance of all labour and materials at site of work complete. As directed by Engineer - In - Charge. RCM jally,
Supply and fixing of 76.10 mm MS OD pipe including cost and conveyance of all labour and materials at site of work complete 76.10 mm MS OD pipe,
"Supply & fixing of prepainted galvalume sheet on roof top or R.O plant room profile roofing sheets with 0.50mm thickness, coating : Alu Zink coating AZ 150 GSM, tensile strength : 550MPA. Paint coating : regular modified polyster painting. Painting thickness (top) : 18 to 20 microns, (bottom) : 5 to 7 microns. Sheet width - 1.020 Mts., length : maximum 12Mts. with regular range colours including scaffolding charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. R.O plant room",
Supply and Fixing of polyethylene water storage tank with revelent pipes including cost and conveyance of all labour and materials at site of work complete Sintex PVC water tank,
"PROVIDING REINFORCED CEMENT CONCRETE using 330 kgs/cum of cement with a minimum strength of M20 grade using 20mm gauge hard granite machine crushed metal including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering, fine finishing, curing, conforming to IS 456-1978 including all incidental, operational, scaffolding and seigniorage charges, cost and conveyance of all materials and labour, at site of work complete (excluding cost of steel, binding wire and its fabrication) as directed by the Engineer-in-Charge. Footings Tripizoidal portion footings Columns Pedastal Columns Plinth beam All round building Midle wall Toilet and pooja Londg wall Short wall Kitchen flat form Slab Front slab projection Loft Beam Toilet and pooja Long wall Short wall Lintels Bed room kitchen Hall Toilet Pooja Sunshade Bed room kitchen Hall Toilet Pooja",
"PLASTERING TO WALLS 20mm thick in CM 1:5 Prop. (1cement:5sand) 16mm thick Ist coat and 2nd coat in CM 1:3 Prop. (1cement:3sand) 4mm thick with DUBARA SPONGE finishing including cleaning the surface cost of curing, scaffolding all incidental seigniorae and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. All round building",
"PLASTERING TO WALLS 12mm thick in CM 1:5 Prop. (1cement:5sand) 16mm thick Ist coat and 2nd coat in CM 1:3 Prop. (1cement:3sand) 4mm thick with DUBARA SPONGE finishing including cleaning the surface cost of curing, scaffolding all incidental seigniorae and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Kitchen/Hall Bed room Toilet room Pooja room Up lofts Deduction main doors Deduction bed room doors Deduction toilet and pooja room Deduction windows Deduction toilet and pooja room",
"PLASTERING TO CEILING 12mm thick in CM 1:5Prop. (1cement:5sand) 9mm thick Ist coat and 2nd coat in CM 1:3 Prop. (1cement:3sand) 3mm thic with DUBARA SPONGE finishing including cleaning the surface cost of curing, scaffolding all incidental seigniorae and operational charges cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Celling plastering Down lofts Canteeliver portion",
"SUPPLYING AND LAYING CERAMIC TILES of best quality having uniform colour of approved make and texture Ist class of size NOT LESS THAN 300X300 for FLOORING set in CM 1:8 Pro. (1cement:8sand) of 12mm thick including neat cement slurry of honey like consistancy spread at 3.3Kg/sqm and joints pointed with white cement paste to full depth mixed with pigment of matching shade all leads and lifts all incidental, operational charges, curing, mixing, seigniorage cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-charge. Toilet Long wall Short wall Pooja room Long wall Short wall Bed room Long wall Short wall Hall room Long wall Short wall Kitchen flat form above",
"Providing & fixing 30mm thick SOLID PANEL PVC DOOR SHUTTER consisting of frame made out of 19gauge MS tube of 19mmX19mm for stiles, top and bottom rail, with a coat of primer of approved make. The MS. Frame shall be covered with 5mm thick heat moulded PVC 'C"" channel of size 30mmX50mm to forming stiles and 5mm thick, 75mm wide PVC sheets for the top, bottom and lock rails on either side and 20mm wide cross PVC sheet as gap insert for top rail and bottom rail, panelling of 10mm (+/-) (5mm+5mm) thick PVC sheet to be fitted in the MS. Frame welded / sealed to the stiles, on either side and joined together with solvent cement adhesive etc. An additional 5mm thick PVC strip of 20mm width is to be stuck on the interior side of the ""C"" channel using solvent cement, complete as per manufactuer's specification including seigniorage charges, cost and conveyance of all labour and materials at site of work complete as per direction of Engineer - in - Charge. Toilet door shutter Main door Bed room door Pooja room",
"Providing and fixing factory made solid Wood Polymer Composite (WPC) single extruded DOOR SHUTTER, the doore frame of size with encapsulation of 8MM rigid layer on all the six surfaces. The door frame will have a rebate of 32mm. Door Frame section of 45x75 mm The two Vertical members are to be joined together with the horizontal member using 8x50 mm long MS Star full thread screws to be used with reverse forward speed control hand drilling machine. The ready assembled door frame is fixed to the wall using hold fast or bolt fasteners. A minimum of 4 No.s of screws to be provided for each vertical member & minimum 2no.s for horizontal member including. Fixing 28 -30mm thick solid Wood Polymer Composite(WPC) single extruded door shutter with 3mm top and bottom rigid layer with an overall density of 750kg/Cum.including fixing of necessary fixtures of 2nos of 125mm Alu. long handles, 1no. of of 200mm long Alu. aldrop, 2 Nos of 150mm long Alu. towerbolts, 4 Nos. of 150mm long MS hinges inlcuding cost of labour, hire charges of required T&P all incidential and operational charges cost and conveyance of all labour and materials at site of work etc., complete as directed by the Engineer in charge. Main door Bed room door Pooja room",
"Providing and fixing factory made solid Wood Polymer Composite (WPC) single extruded window Frame section of size with encapsulation of 8MM rigid layer on all the six surfaces. The door frame will have a rebat of 32MM. Door Frame section of 45x90 MM . The two Vertical members are to be joined together with the horizontal member using 8x60 MM long MS Star full thread screws to be used with reverse forward speed control hand drilling machine. The ready/assembled door frame is fixed to the wall using hold fast or bolt fasteners. A minimum of 4 No.s of screws to be provided for each vertical member & minimum 2no.s for horizontal member including cost of labour, hire charges of required T&P all incidential and operational charges cost and conveyance of all llabour and materials at site of work etc., complete as directed by the Engineer-in-charge. Hall/Kitchen Bed room toilet Pooja room",
"Providing and fixing factory made solid Wood Polymer Composite (WPC) single extruded window shutter section of size with encapsulation of 8MM rigid layer on all the six surfaces. The door frame will have a rebat of 32MM. Door Frame section of 45x90 MM . The two Vertical members are to be joined together with the horizontal member using 8x60 MM long MS Star full thread screws to be used with reverse forward speed control hand drilling machine. The ready/assembled door frame is fixed to the wall using hold fast or bolt fasteners. A minimum of 4 No.s of screws to be provided for each vertical member & minimum 2no.s for horizontal member including cost of labour, hire charges of required T&P all incidential and operational charges cost and conveyance of all llabour and materials at site of work etc., complete as directed by the Engineer-in-charge. Main door Bed room door toilet Pooja",
"Painting two coats to doors with best variety synthetic enamel paint of approved colour and quality, preparing and cleaning the surface and dirt, cost of brushes scaffolding charges including putty, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. Main door Bed room door Toilet door Pooja door Water supply line & sanitary items 12.5% Electrical 7.5%",
"Constn.of Granular sub base by providing HBG materials,well graded/close graded confirming to grading - III of morth table 400-1 (255.00 cum of 9.5mm and 129.00 cum of 2.36 mm below for an out put of 300 cum) including cost and conveyance of all materials to work site and spreding in uniform layers with motor grader or by approved means. on prepared surface mixing by mix in place method with rotavator / approved means at OMC and compacting with vibratory Roller of 8 - 10 tonne capacity to achieve the desired density etc.., complete for finished item of work as per Morth specification 401 (5th revision ) and as directed by the Engineering - In - Charge.(As per item No. RBR - SBBS- 1, sl.no 1 -A-iii of A.P.Revised Standard Data for roads & Bridges For approch",
"Providing, laying, spreading and compacting graded HBG Crushed Stone aggregate to Wet Mix Macadam specification (5th Revision) as per Table 400-13 (89.10 Cum of 45 - 22.4mm, 118.80 Cum of 22.4 - 2.36mm & 89.10 Cum of 2.36mm and below for a total out put of 225 Cum), including cost of all materials and including premixing the material with water at OMC in Mechanical mix plant carriage of mixed material by tipper to site, laying in uniform layers with paver in sub-base/base course on well prepared surface and compacting with Vibratory roller of 8 - 10 t capacity to achive the desired density as per MoRTH specification 406 (5th revision) for finished item of work. (As per item No.RBR-SBBS-11, sl.no.10 of B of A.P.Revised Standard Data for Roads & Bridges) For approch",
"Construction of dry lean cement concrete sub base over a prepared sub-grade with coarse and fine aggregate conforming to IS:383, the size of coarse aggregate not ceeding 25 mm, aggregate cement ratio not to exceed 15:1, aggregate gradation after blending to be as per specifications, cement content not to be less than 150 Kg/cum, optimum moisture content to be determined during trial length construction,concrete strength not to be less than 10 Mpa at 7 days, mixed in a batching plant,transported to site, for all leads & lifts, laid with a mechanical paver, compacting with 8-10 tonne vibratory roller, finishing and curing etc. complete as per direction of Engineer-in- charge. For approch",
"Construction of un-reinforced, dowel jointed at expansion and construction joint only, plain cement concrete pavement, thickness as per design, over a prepared sub base, with 43 grade cement or any other type as per Clause 1501.2.2 M 40 (Grade), coarse and fine aggregates conforming to IS : 383, maximum in a concrete mixer of not less than 0.2 cum capacity and appropeiate weigh batcher using approved mix design, laid in approved fixed side formwork (steel channel, laying and fixing of 125 mictron thick polythene film, wedges, steel plates including levelling the formwork as per drawing), spreading the concrete with sholvels, rakes, compacted using needle, scareed and plate vibrators and finished in continuous operation including provision of contraction and expansion, construction joints, applying debonding strips, primer, sealant, dowel bars, near approaches to bridge / culvert and construction joints, admixtures as approved, curing of concrete slabs for 14- days, curing compound (where specified) and water finishing to lines and grade as per drawing and Technical Specification Clause 1501 MORD including cost and conveyance of all materials , labour charges , overheads and contractors profit etc., complete for finished item of work. For approch",
"SUPPLYING and STACKING of 40mm hard granite machine crushed metal brought from approved quarry including stacking to departmental gauge for premeasurements, seigniorage charges all incidental, operational charges, cost and conveyance of all labour and materials at site of work complete as directed by the Engineer-in-Charge. For approach",
SUPPLY and STACKING of GRAVEL brought from approved quarry for pre-measurements to departmental gauge including seigniorage charges and all labour & materials at site of work complete as directed by the Engineer-in-Charge. For blindage,
"SPREADING 40mm GAUGE hard GRANITE metal 100mm thick loose consolidated to 75mm thick including SPREADING GRAVE for BLINDAGE, watering with an initial lead of 2HM and rolling with Contractor's 8 to 10 tonnes power roller inlcuding sectioning the layer to proper profile, all incidental, labour, hire and operational charges of power roller (8 to 10) barricading driversion of traffic and wetting the new consolidation for a fornight, including complete as directed by the Engineer-in-charge. For approach",
